Z, A, Symbol, mass, mass_unc, estimated_flag
  7,  12, N ,  12.0186131820, 1.073000e-06,  
  8,  12, O ,  12.0342617470, 2.576500e-05,  
  3,  13, Li,  13.0611715030, 7.515000e-05,  
  4,  13, Be,  13.0361345070, 1.092900e-05,  
  5,  13, B ,  13.0177799810, 1.073000e-06,  
  6,  13, C ,  13.0033548352, 2.300000e-10,  
  7,  13, N ,  13.0057386090, 2.890000e-07,  
  8,  13, O ,  13.0248154370, 1.022600e-05,  
  4,  14, Be,  14.0428929200, 1.419700e-04,  
  5,  14, B ,  14.0254040120, 2.277300e-05,  
  6,  14, C ,  14.0032419884, 4.030000e-09,  
  7,  14, N ,  14.0030740045, 2.100000e-10,  
  8,  14, O ,  14.0085967060, 2.700000e-08,  
  9,  14, F ,  14.0343151990, 4.414200e-05,  
  4,  15, Be,  15.0534902150, 1.779900e-04,  
  5,  15, B ,  15.0310879530, 2.257800e-05,  
  6,  15, C ,  15.0105992560, 8.580000e-07,  
  7,  15, N ,  15.0001088989, 6.500000e-10,  
  8,  15, O ,  15.0030656180, 5.260000e-07,  
  9,  15, F ,  15.0177851390, 1.502900e-05,  
 10,  15, Ne,  15.0431729800, 7.158800e-05,  
  4,  16, Be,  16.0616720360, 1.779900e-04,  
  5,  16, B ,  16.0398419200, 2.637500e-05,  
  6,  16, C ,  16.0147012560, 3.840000e-06,  
  7,  16, N ,  16.0061019250, 2.470000e-06,  
  8,  16, O ,  15.9949146196, 1.700000e-10,  
  9,  16, F ,  16.0114657230, 8.932000e-06,  
 10,  16, Ne,  16.0257508640, 2.198600e-05,  
  5,  17, B ,  17.0469313990, 2.191140e-04,  
  6,  17, C ,  17.0225786720, 1.864100e-05,  
  7,  17, N ,  17.0084488770, 1.610300e-05,  
  8,  17, O ,  16.9991317566, 7.000000e-10,  
  9,  17, F ,  17.0020952380, 2.660000e-07,  
 10,  17, Ne,  17.0177139590, 3.800000e-07,  
 11,  17, Na,  17.0377600000, 1.075000e-03,  
  5,  18, B ,  18.0556016820, 2.191800e-04,  
  6,  18, C ,  18.0267519320, 3.220600e-05,  
  7,  18, N ,  18.0140775650, 1.993500e-05,  
  8,  18, O ,  17.9991596128, 7.600000e-10,  
  9,  18, F ,  18.0009373250, 4.970000e-07,  
 10,  18, Ne,  18.0057086930, 3.900000e-07,  
 11,  18, Na,  18.0268793860, 1.007850e-04,  
  5,  19, B ,  19.0641660000, 5.640000e-04,  
  6,  19, C ,  19.0347975960, 1.056250e-04,  
  7,  19, N ,  19.0170224190, 1.761000e-05,  
  8,  19, O ,  19.0035779700, 2.830000e-06,  
  9,  19, F ,  18.9984031629, 9.300000e-10,  
 10,  19, Ne,  19.0018809030, 1.710000e-07,  
 11,  19, Na,  19.0138802720, 1.130900e-05,  
 12,  19, Mg,  19.0341691820, 5.367800e-05,  
  5,  20, B ,  20.0734840000, 8.590000e-04, #
  6,  20, C ,  20.0402617320, 2.475850e-04,  
  7,  20, N ,  20.0233672950, 8.469600e-05,  
  8,  20, O ,  20.0040753580, 9.500000e-07,  
  9,  20, F ,  19.9999812520, 3.100000e-08,  
 10,  20, Ne,  19.9924401762, 1.680000e-09,  
 11,  20, Na,  20.0073544260, 1.195000e-06,  
 12,  20, Mg,  20.0187630750, 2.000000e-06,  
  5,  21, B ,  21.0830170000, 9.660000e-04, #
  6,  21, C ,  21.0490000000, 6.400000e-04, #
  7,  21, N ,  21.0270875730, 1.439060e-04,  
  8,  21, O ,  21.0086549500, 1.288200e-05,  
  9,  21, F ,  20.9999488940, 1.932000e-06,  
 10,  21, Ne,  20.9938466850, 4.100000e-08,  
 11,  21, Na,  20.9976547020, 1.050000e-07,  
 12,  21, Mg,  21.0117057640, 8.100000e-07,  
 13,  21, Al,  21.0289750000, 6.400000e-04, #
  6,  22, C ,  22.0575539900, 2.485150e-04,  
  7,  22, N ,  22.0341009180, 2.230600e-04,  
  8,  22, O ,  22.0099657460, 6.110700e-05,  
  9,  22, F ,  22.0029988090, 1.331000e-05,  
 10,  22, Ne,  21.9913851090, 1.800000e-08,  
 11,  22, Na,  21.9944374180, 1.830000e-07,  
 12,  22, Mg,  21.9995706540, 3.350000e-07,  
 13,  22, Al,  22.0195400000, 4.300000e-04, #
 14,  22, Si,  22.0357900000, 5.400000e-04, #
  6,  23, C ,  23.0688900000, 1.070000e-03, #
  7,  23, N ,  23.0394210000, 4.515000e-04,  
  8,  23, O ,  23.0156966860, 1.306630e-04,  
  9,  23, F ,  23.0035268740, 3.577000e-05,  
 10,  23, Ne,  22.9944669000, 1.120000e-07,  
 11,  23, Na,  22.9897692820, 1.940000e-09,  
 12,  23, Mg,  22.9941239410, 1.700000e-07,  
 13,  23, Al,  23.0072443510, 3.700000e-07,  
 14,  23, Si,  23.0254400000, 5.400000e-04, #
  7,  24, N ,  24.0503900000, 4.300000e-04, #
  8,  24, O ,  24.0198610000, 1.770000e-04,  
  9,  24, F ,  24.0080993700, 1.048530e-04,  
 10,  24, Ne,  23.9936106450, 5.500000e-07,  
 11,  24, Na,  23.9909630110, 1.700000e-08,  
 12,  24, Mg,  23.9850416970, 1.400000e-08,  
 13,  24, Al,  23.9999475410, 2.500000e-07,  
 14,  24, Si,  24.0115354410, 2.090400e-05,  
 15,  24, P ,  24.0357700000, 5.400000e-04, #
  7,  25, N ,  25.0601000000, 5.400000e-04, #
  8,  25, O ,  25.0293389190, 1.772250e-04,  
  9,  25, F ,  25.0121677270, 1.035350e-04,  
 10,  25, Ne,  24.9978147990, 3.118100e-05,  
 11,  25, Na,  24.9899539730, 1.288000e-06,  
 12,  25, Mg,  24.9858369640, 5.000000e-08,  
 13,  25, Al,  24.9904283060, 6.900000e-08,  
 14,  25, Si,  25.0041088010, 1.073500e-05,  
 15,  25, P ,  25.0211900000, 4.300000e-04, #
  8,  26, O ,  26.0372101550, 1.770810e-04,  
  9,  26, F ,  26.0200203920, 1.193770e-04,  
 10,  26, Ne,  26.0005164960, 1.978400e-05,  
 11,  26, Na,  25.9926346490, 3.759000e-06,  
 12,  26, Mg,  25.9825929710, 3.200000e-08,  
 13,  26, Al,  25.9868918630, 7.100000e-08,  
 14,  26, Si,  25.9923338040, 1.150000e-07,  
 15,  26, P ,  26.0117800000, 2.100000e-04, #
 16,  26, S ,  26.0290700000, 6.400000e-04, #
  8,  27, O ,  27.0479550000, 5.370000e-04, #
  9,  27, F ,  27.0273220000, 4.185000e-04,  
 10,  27, Ne,  27.0075694620, 9.744500e-05,  
 11,  27, Na,  26.9940764080, 4.000000e-06,  
 12,  27, Mg,  26.9843406280, 5.300000e-08,  
 13,  27, Al,  26.9815384080, 5.000000e-08,  
 14,  27, Si,  26.9867046880, 1.150000e-07,  
 15,  27, P ,  26.9992244090, 2.827700e-05,  
 16,  27, S ,  27.0182800000, 4.300000e-04, #
  8,  28, O ,  28.0559100000, 7.500000e-04, #
  9,  28, F ,  28.0362230950, 4.219280e-04,  
 10,  28, Ne,  28.0121307670, 1.353390e-04,  
 11,  28, Na,  27.9989390000, 1.100000e-05,  
 12,  28, Mg,  27.9838766060, 2.148000e-06,  
 13,  28, Al,  27.9819100870, 8.300000e-08,  
 14,  28, Si,  27.9769265350, 5.200000e-10,  
 15,  28, P ,  27.9923265850, 1.236000e-06,  
 16,  28, S ,  28.0043727660, 1.717670e-04,  
 17,  28, Cl,  28.0295400000, 6.400000e-04, #
  9,  29, F ,  29.0431030000, 5.640000e-04,  
 10,  29, Ne,  29.0197530000, 1.605000e-04,  
 11,  29, Na,  29.0028770920, 7.876000e-06,  
 12,  29, Mg,  28.9886173930, 1.223800e-05,  
 13,  29, Al,  28.9804531640, 3.700000e-07,  
 14,  29, Si,  28.9764946652, 6.000000e-10,  
 15,  29, P ,  28.9818003680, 3.850000e-07,  
 16,  29, S ,  28.9966114480, 5.367700e-05,  
 17,  29, Cl,  29.0141301780, 2.025550e-04,  
  9,  30, F ,  30.0516500000, 6.400000e-04, #
 10,  30, Ne,  30.0249922350, 2.718750e-04,  
 11,  30, Na,  30.0090979320, 5.074000e-06,  
 12,  30, Mg,  29.9904628260, 3.700000e-06,  
 13,  30, Al,  29.9829683880, 3.100000e-06,  
 14,  30, Si,  29.9737701360, 2.300000e-08,  
 15,  30, P ,  29.9783134890, 6.900000e-08,  
 16,  30, S ,  29.9849067690, 2.210000e-07,  
 17,  30, Cl,  30.0047700000, 2.100000e-04, #
 18,  30, Ar,  30.0224705110, 2.213160e-04,  
  9,  31, F ,  31.0602720000, 5.870000e-04, #
 10,  31, Ne,  31.0334748160, 2.857720e-04,  
 11,  31, Na,  31.0131466560, 1.500000e-05,  
 12,  31, Mg,  30.9966482320, 3.300000e-06,  
 13,  31, Al,  30.9839497560, 2.400000e-06,  
 14,  31, Si,  30.9753631940, 4.600000e-08,  
 15,  31, P ,  30.9737619986, 7.200000e-10,  
 16,  31, S ,  30.9795570070, 2.460000e-07,  
 17,  31, Cl,  30.9924480980, 3.700000e-06,  
 18,  31, Ar,  31.0121580000, 2.150000e-04, #
 10,  32, Ne,  32.0397200000, 5.400000e-04, #
 11,  32, Na,  32.0200110260, 4.000000e-05,  
 12,  32, Mg,  31.9991101390, 3.500000e-06,  
 13,  32, Al,  31.9880843390, 7.700000e-06,  
 14,  32, Si,  31.9741515390, 3.200000e-07,  
 15,  32, P ,  31.9739076430, 4.200000e-08,  
 16,  32, S ,  31.9720711744, 1.410000e-09,  
 17,  32, Cl,  31.9856846370, 6.030000e-07,  
 18,  32, Ar,  31.9976378260, 1.900000e-06,  
 19,  32, K ,  32.0226500000, 4.300000e-04, #
 10,  33, Ne,  33.0493800000, 6.400000e-04, #
 11,  33, Na,  33.0255290000, 4.830000e-04,  
 12,  33, Mg,  33.0053272450, 3.100000e-06,  
 13,  33, Al,  32.9908776870, 7.500000e-06,  
 14,  33, Si,  32.9779769640, 7.500000e-07,  
 15,  33, P ,  32.9717256940, 1.170000e-06,  
 16,  33, S ,  32.9714589098, 1.450000e-09,  
 17,  33, Cl,  32.9774519890, 4.190000e-07,  
 18,  33, Ar,  32.9899255470, 4.300000e-07,  
 19,  33, K ,  33.0075600000, 2.100000e-04, #
 10,  34, Ne,  34.0567280000, 5.510000e-04, #
 11,  34, Na,  34.0340100000, 6.435000e-04,  
 12,  34, Mg,  34.0089354810, 3.100000e-05,  
 13,  34, Al,  33.9967790570, 3.300000e-06,  
 14,  34, Si,  33.9785754370, 1.515500e-05,  
 15,  34, P ,  33.9736458870, 8.700000e-07,  
 16,  34, S ,  33.9678670120, 4.700000e-08,  
 17,  34, Cl,  33.9737624910, 5.200000e-08,  
 18,  34, Ar,  33.9802700930, 8.300000e-08,  
 19,  34, K ,  33.9986900000, 2.100000e-04, #
 20,  34, Ca,  34.0148700000, 3.200000e-04, #
 11,  35, Na,  35.0410430000, 7.200000e-04, #
 12,  35, Mg,  35.0167900000, 2.895000e-04,  
 13,  35, Al,  34.9997598170, 7.900000e-06,  
 14,  35, Si,  34.9845501340, 3.849400e-05,  
 15,  35, P ,  34.9733140530, 2.003000e-06,  
 16,  35, S ,  34.9690323220, 4.300000e-08,  
 17,  35, Cl,  34.9688526940, 3.800000e-08,  
 18,  35, Ar,  34.9752577210, 7.300000e-07,  
 19,  35, K ,  34.9880054070, 5.500000e-07,  
 20,  35, Ca,  35.0051400000, 2.100000e-04, #
 11,  36, Na,  36.0497080000, 7.280000e-04, #
 12,  36, Mg,  36.0218790000, 7.410000e-04,  
 13,  36, Al,  36.0063880000, 1.605000e-04,  
 14,  36, Si,  35.9866492710, 7.707700e-05,  
 15,  36, P ,  35.9782596190, 1.407800e-05,  
 16,  36, S ,  35.9670806990, 2.010000e-07,  
 17,  36, Cl,  35.9683068220, 3.800000e-08,  
 18,  36, Ar,  35.9675451050, 2.800000e-08,  
 19,  36, K ,  35.9813020100, 3.660000e-07,  
 20,  36, Ca,  35.9930744060, 4.294100e-05,  
 21,  36, Sc,  36.0164800000, 3.200000e-04, #
 11,  37, Na,  37.0574710000, 7.370000e-04, #
 12,  37, Mg,  37.0302862650, 7.503500e-04,  
 13,  37, Al,  37.0105310000, 1.935000e-04,  
 14,  37, Si,  36.9929451910, 1.221790e-04,  
 15,  37, P ,  36.9796069560, 4.073800e-05,  
 16,  37, S ,  36.9711255070, 2.120000e-07,  
 17,  37, Cl,  36.9659025840, 5.500000e-08,  
 18,  37, Ar,  36.9667763140, 2.210000e-07,  
 19,  37, K ,  36.9733758890, 1.000000e-07,  
 20,  37, Ca,  36.9858978520, 6.800000e-07,  
 21,  37, Sc,  37.0037790000, 3.220000e-04, #
 12,  38, Mg,  38.0365800000, 5.400000e-04, #
 13,  38, Al,  38.0174020000, 4.020000e-04,  
 14,  38, Si,  37.9955230000, 1.125000e-04,  
 15,  38, P ,  37.9843031050, 7.791800e-05,  
 16,  38, S ,  37.9711633100, 7.699000e-06,  
 17,  38, Cl,  37.9680104180, 1.050000e-07,  
 18,  38, Ar,  37.9627321040, 2.090000e-07,  
 19,  38, K ,  37.9690811160, 2.090000e-07,  
 20,  38, Ca,  37.9763192260, 2.080000e-07,  
 21,  38, Sc,  37.9954380000, 2.150000e-04, #
 22,  38, Ti,  38.0116690000, 3.220000e-04, #
 12,  39, Mg,  39.0453840000, 5.510000e-04, #
 13,  39, Al,  39.0221690000, 4.290000e-04, #
 14,  39, Si,  39.0024910000, 1.455000e-04,  
 15,  39, P ,  38.9862858650, 1.209290e-04,  
 16,  39, S ,  38.9751338520, 5.367700e-05,  
 17,  39, Cl,  38.9680081620, 1.859000e-06,  
 18,  39, Ar,  38.9643130390, 5.367000e-06,  
 19,  39, K ,  38.9637064866, 4.920000e-09,  
 20,  39, Ca,  38.9707108130, 6.400000e-07,  
 21,  39, Sc,  38.9847849700, 2.576500e-05,  
 22,  39, Ti,  39.0023620000, 2.150000e-04, #
 12,  40, Mg,  40.0519060000, 5.370000e-04, #
 13,  40, Al,  40.0296190000, 4.290000e-04, #
 14,  40, Si,  40.0058290000, 3.705000e-04,  
 15,  40, P ,  39.9912888650, 1.648760e-04,  
 16,  40, S ,  39.9754825620, 4.274000e-06,  
 17,  40, Cl,  39.9704154690, 3.442300e-05,  
 18,  40, Ar,  39.9623831238, 2.400000e-09,  
 19,  40, K ,  39.9639981660, 6.000000e-08,  
 20,  40, Ca,  39.9625908650, 2.200000e-08,  
 21,  40, Sc,  39.9779672920, 3.036000e-06,  
 22,  40, Ti,  39.9904987210, 1.717670e-04,  
 23,  40, V ,  40.0130650000, 3.220000e-04, #
 13,  41, Al,  41.0358780000, 5.370000e-04, #
 14,  41, Si,  41.0130110000, 5.955000e-04,  
 15,  41, P ,  40.9946540000, 1.290000e-04,  
 16,  41, S ,  40.9795934510, 4.400000e-06,  
 17,  41, Cl,  40.9706845250, 7.377700e-05,  
 18,  41, Ar,  40.9645005710, 3.720000e-07,  
 19,  41, K ,  40.9618252580, 4.080000e-09,  
 20,  41, Ca,  40.9622779210, 1.470000e-07,  
 21,  41, Sc,  40.9692511040, 8.800000e-08,  
 22,  41, Ti,  40.9831480000, 3.000000e-05,  
 23,  41, V ,  41.0003440000, 2.150000e-04, #
 13,  42, Al,  42.0430490000, 6.440000e-04, #
 14,  42, Si,  42.0176810000, 5.370000e-04, #
 15,  42, P ,  42.0010840000, 3.375000e-04,  
 16,  42, S ,  41.9810651000, 3.000000e-06,  
 17,  42, Cl,  41.9733420000, 6.400000e-05,  
 18,  42, Ar,  41.9630457360, 6.200000e-06,  
 19,  42, K ,  41.9624023060, 1.130000e-07,  
 20,  42, Ca,  41.9586178280, 1.590000e-07,  
 21,  42, Sc,  41.9655165220, 1.810000e-07,  
 22,  42, Ti,  41.9730490220, 2.970000e-07,  
 23,  42, V ,  41.9918200000, 2.100000e-04, #
 24,  42, Cr,  42.0072250000, 4.290000e-04, #
 13,  43, Al,  43.0504780000, 8.590000e-04, #
 14,  43, Si,  43.0248000000, 6.400000e-04, #
 15,  43, P ,  43.0050240000, 5.955000e-04,  
 16,  43, S ,  42.9869076350, 5.335000e-06,  
 17,  43, Cl,  42.9740637000, 6.640700e-05,  
 18,  43, Ar,  42.9656360550, 5.700000e-06,  
 19,  43, K ,  42.9607347030, 4.400000e-07,  
 20,  43, Ca,  42.9587664300, 2.440000e-07,  
 21,  43, Sc,  42.9611504720, 1.999000e-06,  
 22,  43, Ti,  42.9685225210, 7.777000e-06,  
 23,  43, V ,  42.9807660000, 4.600000e-05,  
 24,  43, Cr,  42.9978850000, 4.290000e-04, #
 14,  44, Si,  44.0306100000, 6.400000e-04, #
 15,  44, P ,  44.0112190000, 5.370000e-04, #
 16,  44, S ,  43.9901188480, 5.600000e-06,  
 17,  44, Cl,  43.9781163120, 1.463460e-04,  
 18,  44, Ar,  43.9649238160, 1.700000e-06,  
 19,  44, K ,  43.9615869860, 4.500000e-07,  
 20,  44, Ca,  43.9554815430, 3.480000e-07,  
 21,  44, Sc,  43.9594028670, 1.884000e-06,  
 22,  44, Ti,  43.9596899510, 7.510000e-07,  
 23,  44, V ,  43.9741100000, 1.950000e-04,  
 24,  44, Cr,  43.9856570000, 3.220000e-04, #
 25,  44, Mn,  44.0075470000, 5.370000e-04, #
 14,  45, Si,  45.0402470000, 7.510000e-04, #
 15,  45, P ,  45.0167470000, 5.370000e-04, #
 16,  45, S ,  44.9957170000, 1.111500e-03,  
 17,  45, Cl,  44.9803943530, 1.461770e-04,  
 18,  45, Ar,  44.9680397330, 5.500000e-07,  
 19,  45, K ,  44.9606914930, 5.600000e-07,  
 20,  45, Ca,  44.9561863260, 3.920000e-07,  
 21,  45, Sc,  44.9559075030, 7.240000e-07,  
 22,  45, Ti,  44.9581212110, 9.070000e-07,  
 23,  45, V ,  44.9657689510, 9.350000e-07,  
 24,  45, Cr,  44.9790500000, 3.800000e-05,  
 25,  45, Mn,  44.9943640000, 4.290000e-04, #
 26,  45, Fe,  45.0147740000, 4.290000e-04, #
 15,  46, P ,  46.0246590000, 7.510000e-04, #
 16,  46, S ,  46.0003650000, 5.370000e-04, #
 17,  46, Cl,  45.9851213230, 2.240060e-04,  
 18,  46, Ar,  45.9680374460, 1.200000e-06,  
 19,  46, K ,  45.9619815860, 7.800000e-07,  
 20,  46, Ca,  45.9536879880, 2.399000e-06,  
 21,  46, Sc,  45.9551674850, 7.320000e-07,  
 22,  46, Ti,  45.9526268560, 1.760000e-07,  
 23,  46, V ,  45.9601979710, 2.160000e-07,  
 24,  46, Cr,  45.9683609700, 1.229500e-05,  
 25,  46, Mn,  45.9865060000, 4.290000e-04, #
 26,  46, Fe,  46.0009770000, 5.370000e-04, #
 15,  47, P ,  47.0318950000, 8.590000e-04, #
 16,  47, S ,  47.0079120000, 5.370000e-04, #
 17,  47, Cl,  46.9895010000, 4.290000e-04, #
 18,  47, Ar,  46.9727681140, 1.200000e-06,  
 19,  47, K ,  46.9616616140, 1.500000e-06,  
 20,  47, Ca,  46.9545413940, 2.385000e-06,  
 21,  47, Sc,  46.9524027040, 2.074000e-06,  
 22,  47, Ti,  46.9517577520, 1.230000e-07,  
 23,  47, V ,  46.9549040380, 1.810000e-07,  
 24,  47, Cr,  46.9628955440, 6.473000e-06,  
 25,  47, Mn,  46.9757740000, 3.400000e-05,  
 26,  47, Fe,  46.9926250000, 5.370000e-04, #
 27,  47, Co,  47.0111330000, 6.440000e-04, #
 16,  48, S ,  48.0137000000, 6.400000e-04, #
 17,  48, Cl,  47.9954050000, 5.370000e-04, #
 18,  48, Ar,  47.9760800000, 3.300000e-04,  
 19,  48, K ,  47.9653411860, 8.300000e-07,  
 20,  48, Ca,  47.9525229040, 1.030000e-07,  
 21,  48, Sc,  47.9522231570, 5.314000e-06,  
 22,  48, Ti,  47.9479409320, 1.170000e-07,  
 23,  48, V ,  47.9522512290, 1.046000e-06,  
 24,  48, Cr,  47.9540286670, 7.862000e-06,  
 25,  48, Mn,  47.9685490850, 7.449000e-06,  
 26,  48, Fe,  47.9806760000, 4.290000e-04, #
 27,  48, Co,  48.0016100000, 5.370000e-04, #
 28,  48, Ni,  48.0180280000, 5.380000e-04, #
 16,  49, S ,  49.0226440000, 7.160000e-04, #
 17,  49, Cl,  49.0010090000, 6.440000e-04, #
 18,  49, Ar,  48.9815460000, 4.290000e-04, #
 19,  49, K ,  48.9682107550, 8.600000e-07,  
 20,  49, Ca,  48.9556628750, 2.160000e-07,  
 21,  49, Sc,  48.9500144230, 2.896000e-06,  
 22,  49, Ti,  48.9478646270, 1.220000e-07,  
 23,  49, V ,  48.9485107460, 8.890000e-07,  
 24,  49, Cr,  48.9513329550, 2.407000e-06,  
 25,  49, Mn,  48.9596125850, 2.420000e-06,  
 26,  49, Fe,  48.9734290000, 2.600000e-05,  
 27,  49, Co,  48.9893930000, 5.370000e-04, #
 28,  49, Ni,  49.0088030000, 6.440000e-04, #
 17,  50, Cl,  50.0083090000, 6.440000e-04, #
 18,  50, Ar,  49.9856900000, 5.370000e-04, #
 19,  50, K ,  49.9723800170, 8.300000e-06,  
 20,  50, Ca,  49.9574992170, 1.700000e-06,  
 21,  50, Sc,  49.9521764150, 1.610300e-05,  
 22,  50, Ti,  49.9447858390, 1.290000e-07,  
 23,  50, V ,  49.9471558450, 4.380000e-07,  
 24,  50, Cr,  49.9460414430, 4.680000e-07,  
 25,  50, Mn,  49.9542373910, 4.740000e-07,  
 26,  50, Fe,  49.9629880000, 9.000000e-06,  
 27,  50, Co,  49.9810730000, 4.290000e-04, #
 28,  50, Ni,  49.9955770000, 5.370000e-04, #
 17,  51, Cl,  51.0153410000, 7.510000e-04, #
 18,  51, Ar,  50.9928180000, 6.440000e-04, #
 19,  51, K ,  50.9758278670, 1.400600e-05,  
 20,  51, Ca,  50.9609956650, 5.600000e-07,  
 21,  51, Sc,  50.9535920950, 2.147100e-05,  
 22,  51, Ti,  50.9466096000, 5.410000e-07,  
 23,  51, V ,  50.9439568670, 4.300000e-07,  
 24,  51, Cr,  50.9447646520, 4.290000e-07,  
 25,  51, Mn,  50.9482080650, 5.390000e-07,  
 26,  51, Fe,  50.9568407790, 9.623000e-06,  
 27,  51, Co,  50.9706470000, 5.200000e-05,  
 28,  51, Ni,  50.9872250000, 5.370000e-04, #
 18,  52, Ar,  51.9986260000, 6.440000e-04, #
 19,  52, K ,  51.9816020000, 3.600000e-05,  
 20,  52, Ca,  51.9632136480, 7.200000e-07,  
 21,  52, Sc,  51.9565823510, 8.787100e-05,  
 22,  52, Ti,  51.9468919600, 7.592000e-06,  
 23,  52, V ,  51.9447728390, 4.500000e-07,  
 24,  52, Cr,  51.9405049920, 3.640000e-07,  
 25,  52, Mn,  51.9455634880, 1.980000e-06,  
 26,  52, Fe,  51.9481152170, 5.493000e-06,  
 27,  52, Co,  51.9631120000, 9.000000e-06,  
 28,  52, Ni,  51.9760280000, 4.290000e-04, #
 29,  52, Cu,  51.9975520000, 6.440000e-04, #
 18,  53, Ar,  53.0072900000, 7.500000e-04, #
 19,  53, K ,  52.9868000000, 1.200000e-04,  
 20,  53, Ca,  52.9684510000, 4.700000e-05,  
 21,  53, Sc,  52.9582318210, 1.010060e-04,  
 22,  53, Ti,  52.9497247850, 1.074060e-04,  
 23,  53, V ,  52.9443355930, 3.349000e-06,  
 24,  53, Cr,  52.9406469610, 3.730000e-07,  
 25,  53, Mn,  52.9412877420, 4.830000e-07,  
 26,  53, Fe,  52.9453055740, 1.777000e-06,  
 27,  53, Co,  52.9542032170, 1.839000e-06,  
 28,  53, Ni,  52.9681900000, 2.700000e-05,  
 29,  53, Cu,  52.9857540000, 5.370000e-04, #
 19,  54, K ,  53.9946300000, 6.400000e-04, #
 20,  54, Ca,  53.9729890000, 5.200000e-05,  
 21,  54, Sc,  53.9636166200, 2.928620e-04,  
 22,  54, Ti,  53.9510227860, 8.852600e-05,  
 23,  54, V ,  53.9464374720, 1.610700e-05,  
 24,  54, Cr,  53.9388780120, 3.780000e-07,  
 25,  54, Mn,  53.9403564290, 1.136000e-06,  
 26,  54, Fe,  53.9396083060, 3.990000e-07,  
 27,  54, Co,  53.9484591920, 4.110000e-07,  
 28,  54, Ni,  53.9578330000, 5.000000e-06,  
 29,  54, Cu,  53.9770150000, 4.290000e-04, #
 30,  54, Zn,  53.9932670000, 4.300000e-04, #
 19,  55, K ,  55.0007600000, 7.500000e-04, #
 20,  55, Ca,  54.9803000000, 3.220000e-04, #
 21,  55, Sc,  54.9676226010, 4.877560e-04,  
 22,  55, Ti,  54.9552674650, 1.734860e-04,  
 23,  55, V ,  54.9472411140, 1.020980e-04,  
 24,  55, Cr,  54.9408372890, 4.280000e-07,  
 25,  55, Mn,  54.9380431720, 3.250000e-07,  
 26,  55, Fe,  54.9382912830, 3.670000e-07,  
 27,  55, Co,  54.9419965310, 4.590000e-07,  
 28,  55, Ni,  54.9513299610, 7.710000e-07,  
 29,  55, Cu,  54.9660380000, 1.670000e-04,  
 30,  55, Zn,  54.9843580000, 4.290000e-04, #
 19,  56, K ,  56.0085100000, 8.600000e-04, #
 20,  56, Ca,  55.9850800000, 4.290000e-04, #
 21,  56, Sc,  55.9733200000, 6.300000e-04,  
 22,  56, Ti,  55.9577881900, 1.301640e-04,  
 23,  56, V ,  55.9504506940, 1.899070e-04,  
 24,  56, Cr,  55.9406491070, 6.470000e-07,  
 25,  56, Mn,  55.9389029470, 3.550000e-07,  
 26,  56, Fe,  55.9349356170, 3.240000e-07,  
 27,  56, Co,  55.9398381500, 5.290000e-07,  
 28,  56, Ni,  55.9421278720, 4.520000e-07,  
 29,  56, Cu,  55.9585150000, 1.600000e-05,  
 30,  56, Zn,  55.9727430000, 4.290000e-04, #
 31,  56, Ga,  55.9963610000, 5.370000e-04, #
 20,  57, Ca,  56.9926200000, 4.290000e-04, #
 21,  57, Sc,  56.9774600000, 1.400000e-03,  
 22,  57, Ti,  56.9635900680, 2.752740e-04,  
 23,  57, V ,  56.9523201970, 8.639700e-05,  
 24,  57, Cr,  56.9436124090, 1.146000e-06,  
 25,  57, Mn,  56.9382859680, 1.615000e-06,  
 26,  57, Fe,  56.9353921340, 3.260000e-07,  
 27,  57, Co,  56.9362899130, 5.720000e-07,  
 28,  57, Ni,  56.9397915250, 6.240000e-07,  
 29,  57, Cu,  56.9492118190, 5.570000e-07,  
 30,  57, Zn,  56.9650560000, 2.150000e-04, #
 31,  57, Ga,  56.9838860000, 4.290000e-04, #
 20,  58, Ca,  57.9979400000, 5.370000e-04, #
 21,  58, Sc,  57.9840300000, 4.290000e-04, #
 22,  58, Ti,  57.9666020000, 2.150000e-04, #
 23,  58, V ,  57.9566269320, 9.594700e-05,  
 24,  58, Cr,  57.9441845020, 1.600000e-06,  
 25,  58, Mn,  57.9400666460, 2.900000e-06,  
 26,  58, Fe,  57.9332737380, 3.680000e-07,  
 27,  58, Co,  57.9357514290, 1.245000e-06,  
 28,  58, Ni,  57.9353417800, 4.000000e-07,  
 29,  58, Cu,  57.9445324130, 6.210000e-07,  
 30,  58, Zn,  57.9545904280, 5.367800e-05,  
 31,  58, Ga,  57.9747290000, 3.220000e-04, #
 32,  58, Ge,  57.9923990000, 5.370000e-04, #
 21,  59, Sc,  58.9889400000, 4.290000e-04, #
 22,  59, Ti,  58.9726140000, 2.150000e-04, #
 23,  59, V ,  58.9593856590, 1.737780e-04,  
 24,  59, Cr,  58.9483778100, 2.322790e-04,  
 25,  59, Mn,  58.9403911130, 2.500000e-06,  
 26,  59, Fe,  58.9348736490, 3.800000e-07,  
 27,  59, Co,  58.9331936560, 4.480000e-07,  
 28,  59, Ni,  58.9343455710, 4.020000e-07,  
 29,  59, Cu,  58.9394968440, 5.840000e-07,  
 30,  59, Zn,  58.9493120170, 8.270000e-07,  
 31,  59, Ga,  58.9637570000, 1.830000e-04, #
 32,  59, Ge,  58.9829630000, 4.290000e-04, #
